CustomerID,Gender,SeniorCitizen,Partner,Dependents,TenureMonths,PhoneService,InternetService,OnlineSecurity,TechSupport,ContractType,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,CustomerSupportCalls,Churn
CUST-1001,Male,1,No,No,32,Yes,No,No,No,Month-to-Month,Yes,Credit Card,20.79,649.03,1,Yes
CUST-1002,Male,0,No,No,29,Yes,DSL,Yes,Yes,Two Year,No,Bank Transfer,66.95,1930.16,2,Yes
CUST-1003,Female,1,No,No,34,Yes,No,No,No,One Year,Yes,Credit Card,21.97,738.71,5,No
CUST-1004,Female,0,Yes,Yes,30,Yes,Fiber Optic,Yes,Yes,One Year,No,Credit Card,100.89,3021.29,2,No
CUST-1005,Female,0,Yes,Yes,69,Yes,Fiber Optic,No,No,One Year,Yes,Bank Transfer,106.07,7329.87,1,No
CUST-1006,Female,0,Yes,Yes,41,Yes,DSL,No,No,Month-to-Month,No,Mailed Check,66.17,2715.42,2,No
CUST-1007,Female,0,No,No,47,Yes,Fiber Optic,No,Yes,Month-to-Month,Yes,Mailed Check,100.69,4744.11,3,Yes
CUST-1008,Female,0,No,No,68,Yes,No,No,No,Month-to-Month,Yes,Bank Transfer,39.21,2659.89,2,Yes
CUST-1009,Female,1,No,No,65,Yes,No,No,No,Month-to-Month,No,Mailed Check,23.82,1558.8,4,No
CUST-1010,Male,0,No,No,3,Yes,DSL,No,Yes,Month-to-Month,Yes,Electronic Check,62.14,185.86,0,No
CUST-1011,Male,1,No,No,71,Yes,No,No,No,Two Year,No,Mailed Check,43.22,3078.83,5,Yes
CUST-1012,Female,0,No,No,57,Yes,DSL,Yes,Yes,Month-to-Month,Yes,Bank Transfer,60.53,3452.37,4,Yes
CUST-1013,Male,0,Yes,Yes,9,No,DSL,Yes,Yes,One Year,No,Mailed Check,73.48,670.25,4,No
CUST-1014,Male,0,No,No,25,Yes,No,No,No,One Year,No,Credit Card,30.28,771.55,0,No
CUST-1015,Male,1,No,No,14,Yes,Fiber Optic,No,Yes,One Year,Yes,Bank Transfer,96.57,1366.96,0,No
CUST-1016,Male,1,Yes,Yes,31,Yes,DSL,No,Yes,One Year,Yes,Mailed Check,69.47,2172.98,2,No
CUST-1017,Female,0,No,No,20,Yes,Fiber Optic,Yes,Yes,Two Year,No,Electronic Check,86.25,1724.07,4,Yes
CUST-1018,Male,0,Yes,Yes,31,Yes,No,No,No,Month-to-Month,Yes,Electronic Check,30.48,948.23,4,Yes
CUST-1019,Female,0,No,No,31,Yes,Fiber Optic,No,No,One Year,Yes,Electronic Check,96.46,3010.2,0,Yes
CUST-1020,Male,0,Yes,No,9,Yes,DSL,No,Yes,One Year,No,Electronic Check,76.7,692.48,5,Yes
CUST-1021,Male,0,Yes,Yes,35,Yes,Fiber Optic,No,Yes,Two Year,No,Credit Card,91.28,3211.13,0,Yes
CUST-1022,Female,0,Yes,Yes,43,Yes,No,No,No,One Year,Yes,Credit Card,33.79,1450.08,0,Yes
