OrderID,Category,SubCategory,Region,CustomerSegment,Quantity,UnitPrice,DiscountPercent,TotalRevenue,ShippingCost,Profit,DeliveryDays,Returned
ORD-5001,Fashion,Watches,Latin America,Consumer,9,218.03,0.05,1864.16,37.19,163.82,6,No
ORD-5002,Electronics,Accessories,Latin America,Corporate,5,361.32,0.1,1625.94,24.49,319.59,4,No
ORD-5003,Furniture,Sofas,Europe,Small Business,5,274.03,0.05,1301.64,5.66,129.6,8,No
ORD-5004,Fashion,Bags,Latin America,Corporate,4,129.24,0.15,439.42,43.38,-5.82,3,No
ORD-5005,Electronics,Headphones,Asia Pacific,Consumer,6,439.98,0.15,2243.9,40.48,422.42,2,No
ORD-5006,Office Supplies,Pens,North America,Corporate,2,31.44,0.05,59.74,17.41,3.6,1,No
ORD-5007,Furniture,Bookcases,North America,Consumer,9,178.09,0.2,1282.25,19.85,44.71,6,No
ORD-5008,Office Supplies,Storage,Asia Pacific,Consumer,9,48.92,0.15,374.24,35.34,14.69,9,Yes
ORD-5009,Electronics,Laptops,Latin America,Corporate,8,669.05,0.3,3746.68,15.68,-461.88,4,Yes
ORD-5010,Fashion,Watches,Latin America,Consumer,1,34.9,0.0,34.9,43.14,-12.63,4,No
ORD-5011,Furniture,Sofas,Asia Pacific,Consumer,1,595.15,0.05,565.39,39.35,47.41,8,No
ORD-5012,Furniture,Sofas,Europe,Small Business,8,121.69,0.3,681.46,23.38,47.1,6,No
ORD-5013,Office Supplies,Storage,Asia Pacific,Small Business,3,55.08,0.3,115.67,28.59,-8.62,4,Yes
ORD-5014,Electronics,Accessories,Latin America,Corporate,6,848.35,0.1,4581.09,24.95,885.87,7,Yes
ORD-5015,Office Supplies,Storage,North America,Consumer,9,21.77,0.05,186.13,40.23,3.85,3,No
ORD-5016,Office Supplies,Pens,Latin America,Corporate,10,29.84,0.0,298.4,14.7,68.19,2,No
ORD-5017,Electronics,Accessories,Latin America,Corporate,3,396.23,0.0,1188.69,18.35,206.63,5,No
ORD-5018,Fashion,Bags,Europe,Corporate,7,216.13,0.1,1361.62,14.73,289.88,6,No
ORD-5019,Office Supplies,Pens,North America,Consumer,2,11.17,0.3,15.64,5.34,-2.36,8,No
ORD-5020,Furniture,Chairs,North America,Corporate,3,77.65,0.1,209.66,44.35,3.02,6,No
ORD-5021,Electronics,Smartphones,Europe,Corporate,6,125.98,0.2,604.7,8.29,-45.24,1,No
ORD-5022,Furniture,Sofas,Latin America,Consumer,5,380.42,0.2,1521.68,38.47,-107.67,5,Yes
ORD-5023,Fashion,Watches,Europe,Small Business,9,46.63,0.2,335.74,13.95,-6.72,7,No
ORD-5024,Fashion,Bags,Asia Pacific,Small Business,5,91.07,0.3,318.74,37.59,-30.06,4,No
ORD-5025,Office Supplies,Binders,Europe,Corporate,3,57.74,0.0,173.22,8.18,38.07,2,No
ORD-5026,Fashion,Footwear,Europe,Small Business,2,88.56,0.1,159.41,32.51,11.93,8,No
ORD-5027,Electronics,Headphones,Europe,Corporate,1,353.22,0.15,300.24,12.66,-11.72,1,No
ORD-5028,Office Supplies,Pens,Europe,Corporate,8,54.37,0.15,369.72,36.35,56.78,8,No
ORD-5029,Office Supplies,Pens,Asia Pacific,Small Business,3,5.56,0.05,15.85,43.17,-14.85,8,No
ORD-5030,Office Supplies,Binders,North America,Consumer,4,43.46,0.15,147.76,43.28,12.97,3,No
ORD-5031,Electronics,Headphones,Asia Pacific,Small Business,6,329.97,0.0,1979.82,24.31,589.31,9,No
ORD-5032,Furniture,Bookcases,Asia Pacific,Small Business,7,540.38,0.2,3026.13,29.5,246.33,7,No
ORD-5033,Electronics,Accessories,Asia Pacific,Small Business,8,78.28,0.1,563.62,5.72,87.39,2,No
ORD-5034,Fashion,Bags,Europe,Corporate,10,75.15,0.1,676.35,17.01,112.27,1,No
ORD-5035,Office Supplies,Pens,Asia Pacific,Consumer,9,22.19,0.05,189.72,43.08,13.37,7,Yes
ORD-5036,Electronics,Smartphones,Asia Pacific,Small Business,9,848.33,0.0,7634.97,25.07,2564.49,5,No
ORD-5037,Electronics,Accessories,Europe,Small Business,9,287.3,0.0,2585.7,39.21,837.39,7,No
ORD-5038,Office Supplies,Binders,Europe,Consumer,7,10.98,0.3,53.8,14.82,-7.57,2,Yes
ORD-5039,Office Supplies,Binders,Asia Pacific,Small Business,5,36.17,0.15,153.72,13.16,-4.61,2,No
ORD-5040,Office Supplies,Storage,North America,Consumer,3,70.49,0.0,211.47,43.14,3.43,5,No
ORD-5041,Electronics,Accessories,Asia Pacific,Consumer,9,698.76,0.2,5031.07,23.61,-246.07,5,No
ORD-5042,Electronics,Headphones,Europe,Corporate,4,508.96,0.1,1832.26,34.01,437.04,2,No
ORD-5043,Furniture,Tables,Asia Pacific,Consumer,9,500.22,0.2,3601.58,12.77,670.55,6,Yes
ORD-5044,Fashion,Bags,North America,Small Business,7,72.78,0.05,483.99,29.84,70.6,2,No
ORD-5045,Furniture,Sofas,Latin America,Corporate,6,406.96,0.05,2319.67,41.0,99.17,4,Yes
ORD-5046,Office Supplies,Paper,Asia Pacific,Small Business,6,36.17,0.0,217.02,43.78,50.36,2,No
ORD-5047,Electronics,Smartphones,Europe,Corporate,8,516.08,0.2,3302.91,34.04,25.99,1,No
ORD-5048,Furniture,Bookcases,Latin America,Corporate,1,523.67,0.0,523.67,42.56,118.87,3,No
ORD-5049,Fashion,Footwear,Asia Pacific,Corporate,7,245.79,0.2,1376.42,19.55,67.25,5,Yes
ORD-5050,Office Supplies,Storage,Europe,Small Business,2,70.21,0.2,112.34,29.12,5.19,6,Yes
ORD-5051,Office Supplies,Storage,Asia Pacific,Consumer,3,48.23,0.2,115.75,37.01,-16.83,5,No
ORD-5052,Electronics,Headphones,Asia Pacific,Consumer,7,686.98,0.0,4808.86,17.48,1517.66,2,No
ORD-5053,Office Supplies,Paper,Europe,Consumer,2,76.17,0.2,121.87,5.16,17.52,1,No
ORD-5054,Electronics,Headphones,Europe,Small Business,9,809.72,0.05,6923.11,8.28,588.35,2,No
ORD-5055,Electronics,Accessories,Europe,Small Business,3,185.66,0.3,389.89,25.39,31.64,1,No
ORD-5056,Furniture,Sofas,Europe,Consumer,7,173.94,0.3,852.31,20.54,45.27,5,No
ORD-5057,Fashion,Watches,Asia Pacific,Consumer,10,217.63,0.0,2176.3,33.28,310.63,8,Yes
ORD-5058,Electronics,Accessories,Europe,Small Business,5,634.52,0.2,2538.08,12.37,231.15,2,No
ORD-5059,Electronics,Laptops,Europe,Small Business,1,668.88,0.3,468.22,20.79,38.79,5,No
ORD-5060,Furniture,Chairs,North America,Corporate,2,244.33,0.15,415.36,10.78,60.3,2,No
ORD-5061,Office Supplies,Pens,Latin America,Small Business,9,56.02,0.15,428.55,31.52,69.5,3,No
ORD-5062,Office Supplies,Binders,Europe,Corporate,8,76.19,0.15,518.09,6.96,-23.08,8,No
ORD-5063,Electronics,Accessories,Asia Pacific,Consumer,7,134.96,0.1,850.25,10.63,59.87,7,No
ORD-5064,Fashion,Apparel,Latin America,Corporate,5,169.96,0.15,722.33,13.04,134.37,8,No
ORD-5065,Office Supplies,Binders,Latin America,Consumer,8,72.86,0.0,582.88,36.24,133.68,7,No
ORD-5066,Furniture,Chairs,Asia Pacific,Small Business,6,341.9,0.3,1435.98,8.95,100.87,9,No
ORD-5067,Electronics,Smartphones,North America,Consumer,5,256.8,0.05,1219.8,35.31,254.82,9,No
ORD-5068,Furniture,Sofas,North America,Consumer,1,236.78,0.3,165.75,35.79,-22.05,6,Yes
ORD-5069,Furniture,Tables,North America,Small Business,5,449.28,0.15,1909.44,15.05,332.41,4,No
