PropertyID,SquareFootage,Bedrooms,Bathrooms,YearBuilt,GarageCars,NeighborhoodQuality,DistanceToDowntownMiles,HasPool,Renovated,SalePrice
PROP-2001,2663,4,3.0,1970,3,1,10.0,0,0,674500
PROP-2002,3963,6,5.5,1964,3,1,7.5,1,0,1037100
PROP-2003,1218,3,3.2,2017,0,2,16.3,0,0,406500
PROP-2004,3100,4,3.0,2010,1,10,11.9,0,0,996600
PROP-2005,2643,4,3.0,1975,2,4,3.0,1,0,800800
PROP-2006,2146,2,2.0,1960,1,3,4.3,0,0,523400
PROP-2007,3849,5,4.8,2018,2,5,15.2,1,0,1135100
PROP-2008,1565,2,2.5,1989,2,4,19.8,0,0,465300
PROP-2009,1088,1,1.2,2006,3,4,25.4,0,0,371100
PROP-2010,2025,3,2.8,2008,1,6,4.5,0,0,716500
PROP-2011,4338,6,5.5,1970,2,1,26.0,0,1,1011000
PROP-2012,3090,5,4.2,2021,0,4,10.5,0,0,884000
PROP-2013,3219,5,3.8,2023,3,2,24.6,0,0,860200
PROP-2014,2799,4,3.0,1998,0,3,8.1,0,1,787300
PROP-2015,2101,2,2.0,1992,1,9,17.3,0,1,711300
PROP-2016,1222,3,2.8,2011,3,8,24.8,0,0,593200
PROP-2017,2534,3,2.2,2009,2,4,9.7,0,0,717400
PROP-2018,3154,6,5.0,1989,0,8,22.0,1,1,999000
PROP-2019,1832,4,3.5,2017,2,8,25.7,0,0,710800
PROP-2020,1226,1,1.2,1995,0,10,9.5,0,0,597100
PROP-2021,2547,5,3.8,1974,0,6,11.8,0,0,776700
PROP-2022,3184,6,5.0,1998,3,7,23.9,1,1,1066500
PROP-2023,3109,5,4.2,1999,3,6,9.1,0,0,956300
PROP-2024,3986,6,4.5,1981,3,10,6.9,0,1,1292200
PROP-2025,3536,4,3.0,1961,2,7,15.6,1,0,1004500
PROP-2026,3167,6,5.5,1983,3,2,7.2,1,0,928000
PROP-2027,2994,4,3.0,2016,3,8,13.2,0,0,1007100
PROP-2028,3082,6,5.0,1978,3,4,14.8,0,0,913400
PROP-2029,4059,6,4.5,1970,0,8,21.9,0,1,1104600
PROP-2030,1517,3,2.2,2012,1,5,6.7,0,0,564100
PROP-2031,1699,1,1.8,1990,0,3,7.1,0,0,466100
PROP-2032,842,1,1.8,1963,3,10,28.1,0,1,490700
PROP-2033,1678,3,2.2,2011,2,3,6.4,0,0,524600
PROP-2034,2073,2,2.5,1999,0,3,15.0,0,1,587500
PROP-2035,3680,5,3.8,2008,2,5,15.7,0,0,1005300
PROP-2036,3944,6,4.5,1973,0,10,18.4,0,0,1170900
PROP-2037,790,1,1.0,2006,2,5,25.9,0,0,321500
PROP-2038,1764,2,2.0,1998,1,6,10.3,0,1,620500
PROP-2039,3032,5,4.8,2017,3,1,19.7,1,0,849400
PROP-2040,1441,1,1.0,1969,3,1,25.8,0,1,282700
PROP-2041,3687,6,5.5,2011,3,4,27.2,0,0,1012000
PROP-2042,2683,5,4.8,2021,1,9,14.8,0,0,947200
PROP-2043,3615,5,4.2,1980,2,10,11.1,0,0,1171000
PROP-2044,3115,5,4.2,1998,0,7,1.4,1,1,1069400
PROP-2045,3030,6,4.5,2020,0,1,10.1,0,0,824200
PROP-2046,2136,4,3.0,1979,0,3,19.8,0,0,579500
